name,info,real_value,real_range_max,real_range_min,real_um,sim_value,sim_range_max,sim_range_min,sim_um,references,influence
SpaceArbitraryUnit,,1,,,millimeter,1.0,,,SpaceArbitraryUnit,,
TimeArbitraryUnit,,26,,,minute,1.0,,,TimeArbitraryUnit,,
AFsArbitraryUnit,,1.0,,,nanogram / milliliter,1.0,,,afau,,
D_af,Diffusivity of angiogenic factor,4.2415938159916675e-05,,,millimeter ** 2 / second,0.06616886352947002,,,SpaceArbitraryUnit ** 2 / TimeArbitraryUnit,"Estimated from Kihara, T., Ito, J., & Miyake, J. (2013). Measurement of Biomolecular Diffusion in Extracellular Matrix Condensed by Fibroblasts Using Fluorescence Correlation Spectroscopy. PLoS ONE, 8(11), 82382. https://doi.org/10.1371/JOURNAL.PONE.0082382",
V_uc_af,Angiogenic factor uptake in capillaries,82.80000000000001,8280.0 / hour,0.8280000000000001 / hour,1 / hour,35.88,3587.9999999999995 / TimeArbitraryUnit,0.3588 / TimeArbitraryUnit,1 / tau,"Estimated by Travasso, R. D. M., Poire, E. C., Castro, M., Rodrguez-Manzaneque, J. C., & Hernandez-Machado, A. (2011). Tumor angiogenesis and vascular patterning: A mathematical model. PLoS ONE, 6(5), e19989. https://doi.org/10.1371/journal.pone.0019989",
n_source_cells,Initial number of source cells,300,,,[adim],300.0,,,[adim],,
source_cells_range,Deactivation range for the hypoxic (source) cells,0.025,,,millimeter,0.025,,,sau,"Estimated by Travasso, R. D. M., Poire, E. C., Castro, M., Rodrguez-Manzaneque, J. C., & Hernandez-Machado, A. (2011). Tumor angiogenesis and vascular patterning: A mathematical model. PLoS ONE, 6(5), e19989. https://doi.org/10.1371/journal.pone.0019989",
af_min, Min value for angiogenic factor (outside hypoxic cells),0.0,,,nanogram / milliliter,0.0,,,AFsArbitraryUnit,"Estimated by Travasso, R. D. M., Poire, E. C., Castro, M., Rodrguez-Manzaneque, J. C., & Hernandez-Machado, A. (2011). Tumor angiogenesis and vascular patterning: A mathematical model. PLoS ONE, 6(5), e19989. https://doi.org/10.1371/journal.pone.0019989",
af_max, Max value for angiogenic factor (inside hypoxic cells),10.0,,,nanogram / milliliter,10.000000000000002,,,AFsArbitraryUnit,"Estimated by Travasso, R. D. M., Poire, E. C., Castro, M., Rodrguez-Manzaneque, J. C., & Hernandez-Machado, A. (2011). Tumor angiogenesis and vascular patterning: A mathematical model. PLoS ONE, 6(5), e19989. https://doi.org/10.1371/journal.pone.0019989",
R_c,Cell radius,10,,,micrometer,0.01,,,SpaceArbitraryUnit,Milo et al. Nucl. Acids Res. (2010) 38 (suppl 1): D750-D753.; ID: 100432,
epsilon,Interface width,1.5625,,,micrometer ** 2,1.5624999999999999e-06,,,SpaceArbitraryUnit ** 2,"Same provied by Travasso, R. D. M., Poire, E. C., Castro, M., Rodrguez-Manzaneque, J. C., & Hernandez-Machado, A. (2011). Tumor angiogenesis and vascular patterning: A mathematical model. PLoS ONE, 6(5), e19989. https://doi.org/10.1371/journal.pone.0019989",
dt,Simulation time step,26,,,minute,1.0,,,TimeArbitraryUnit,"Same provied by Travasso, R. D. M., Poire, E. C., Castro, M., Rodrguez-Manzaneque, J. C., & Hernandez-Machado, A. (2011). Tumor angiogenesis and vascular patterning: A mathematical model. PLoS ONE, 6(5), e19989. https://doi.org/10.1371/journal.pone.0019989",
T_p,Angiogenic factor concentration for maximum proliferation,1.0,,,nanogram / milliliter,1.0000000000000002,,,AFsArbitraryUnit,None,
alpha_p,Stalk cells proliferation rate,0.0009699999999999997,,,milliliter / hour / picogram,0.42033333333333317,,,1 / AFsArbitraryUnit / TimeArbitraryUnit,,
alpha_pc,Endothelial cells proliferation rate,0.0009699999999999997,,,milliliter / hour / picogram,0.42033333333333317,,,1 / AFsArbitraryUnit / TimeArbitraryUnit,,
T_c,Minimum af for Tip Cells Activation,3.0,,,nanogram / milliliter,3.000000000000001,,,AFsArbitraryUnit,"Song, M. & Finley, S.D.Mechanistic characterization of endothelial sprouting mediated by pro-angiogenic signaling. Microcirculation 29, e12744(2022).",
G_m,Minimum af gradient required for Tip Cells Activation,14.0,,,nanogram / milliliter / millimeter,14.000000000000004,,,AFsArbitraryUnit / SpaceArbitraryUnit,"Shamloo, A., Ma, N., Poo, M. M., Sohn, L. L., & Heilshorn, S. C. (2008). Endothelial cell polarization and chemotaxis in a microfluidic device. Lab on a Chip, 8(8), 1292-1299. https://doi.org/10.1039/B719788H",
phi_th,Minimum capillaries field value for Tip Cells activation,,,,,0.9,,,,,
G_M,af gradient for maximum tip cells velocity,42.0,,,nanogram / milliliter / millimeter,42.000000000000014,,,AFsArbitraryUnit / SpaceArbitraryUnit,,
phi_min,Min capillaries field value,,,,,-1.0,,,,,
phi_max,Max capillaries field value,,,,,1.0,,,,,
M,'Motility' for the capillaries phase field,1e-09,,,millimeter ** 2 / second,1.56e-06,,,SpaceArbitraryUnit ** 2 / TimeArbitraryUnit,,
chi,chemotactic constant for tip cells,0.008333333333333333,,,micrometer * milliliter * millimeter / minute / nanogram,0.0002166666666666666,,,SpaceArbitraryUnit ** 2 / AFsArbitraryUnit / TimeArbitraryUnit,,
min_tipcell_distance,Min Tip Cells distance (due to Notch pathway),40,,,micrometer,0.04,,,SpaceArbitraryUnit,,
tc_freq,Frequency of TC activation,2.307692307692308,,,1 / hour,1.0,,,1 / TimeArbitraryUnit,,
